id_postulante,correo,num_telefono,nombres,apellidos,nota_postulacion,opcion_1,politica_cuotas,vulnerable,cuadro_honor,pueblo_nacionalidad,titulo_superior
P0001,pedro1@mail.com,0941772759,Pedro,Lopez,911,IS3,NO,NO,NO,NO,NO
P0002,lucia2@mail.com,0964718216,Lucia,Garcia,915,IS3,NO,NO,NO,NO,SI
P0003,juan3@mail.com,0993314687,Juan,Lopez,709,IS1,NO,NO,NO,NO,NO
P0004,miguel4@mail.com,0975568207,Miguel,Vera,673,IS2,NO,SI,NO,NO,NO
P0005,lucia5@mail.com,0971203200,Lucia,Zambrano,707,EN1,NO,NO,NO,NO,NO
P0006,carlos6@mail.com,0980153758,Carlos,Castro,765,EN1,SI,SI,NO,NO,NO
P0007,carlos7@mail.com,0946003786,Carlos,Mendoza,901,IS1,NO,SI,SI,NO,NO
P0008,maria8@mail.com,0991097752,Maria,Cedeño,890,ME1,NO,SI,SI,NO,NO
P0009,ana9@mail.com,0976212979,Ana,Lopez,746,MA1,NO,NO,NO,NO,NO
P0010,juan10@mail.com,0964651904,Juan,Garcia,774,AD2,NO,NO,NO,NO,NO
P0011,miguel11@mail.com,0932455375,Miguel,Mendoza,850,CO1,SI,NO,NO,NO,NO
P0012,miguel12@mail.com,0982522049,Miguel,Cedeño,827,CO1,NO,NO,NO,NO,NO
P0013,pedro13@mail.com,0971118887,Pedro,Garcia,840,AD1,NO,SI,NO,NO,NO
P0014,miguel14@mail.com,0959765207,Miguel,Cedeño,824,IN1,NO,SI,NO,NO,NO
P0015,lucia15@mail.com,0937138873,Lucia,Garcia,915,IN1,NO,SI,NO,NO,NO
P0016,pedro16@mail.com,0937209946,Pedro,Lopez,935,IS3,NO,NO,NO,NO,SI
P0017,juan17@mail.com,0997475695,Juan,Gomez,751,AR1,NO,NO,SI,NO,NO
P0018,lucia18@mail.com,0913398196,Lucia,Zambrano,847,AD1,NO,NO,NO,NO,NO
P0019,rosa19@mail.com,0951891578,Rosa,Gomez,716,EN1,SI,NO,SI,NO,NO
P0020,maria20@mail.com,0930506557,Maria,Torres,837,IS1,NO,NO,NO,SI,NO
P0021,pedro21@mail.com,0967289425,Pedro,Mendoza,846,IN1,SI,NO,NO,SI,NO
P0022,lucia22@mail.com,0967147833,Lucia,Perez,733,PS1,NO,NO,NO,NO,NO
P0023,maria23@mail.com,0912883245,Maria,Gomez,792,IN1,NO,NO,NO,NO,NO
P0024,rosa24@mail.com,0951640567,Rosa,Castro,982,DE1,NO,NO,NO,NO,NO
P0025,rosa25@mail.com,0989994993,Rosa,Mendoza,810,CO2,NO,NO,NO,SI,NO
P0026,miguel26@mail.com,0934066901,Miguel,Vera,756,ME1,NO,NO,NO,NO,NO
P0027,miguel27@mail.com,0923220831,Miguel,Gomez,898,IS2,NO,NO,NO,NO,NO
P0028,juan28@mail.com,0931819101,Juan,Castro,686,ME1,SI,NO,SI,NO,NO
P0029,juan29@mail.com,0941953723,Juan,Lopez,683,CO1,SI,SI,NO,NO,NO
P0030,juan30@mail.com,0996393892,Juan,Gomez,919,IS2,NO,SI,NO,NO,NO
P0031,ana31@mail.com,0985488603,Ana,Mendoza,897,PS1,NO,NO,SI,NO,NO
P0032,juan32@mail.com,0923231213,Juan,Cedeño,927,IN1,NO,NO,NO,NO,NO
P0033,ana33@mail.com,0960147618,Ana,Mendoza,971,EC1,SI,NO,NO,NO,NO
P0034,sofia34@mail.com,0944126935,Sofia,Lopez,964,CO1,NO,NO,NO,NO,NO
P0035,ana35@mail.com,0932846210,Ana,Garcia,968,IS1,NO,NO,NO,NO,NO
P0036,miguel36@mail.com,0957370816,Miguel,Torres,766,IN1,NO,NO,NO,NO,SI
P0037,miguel37@mail.com,0989051510,Miguel,Mendoza,776,EN1,NO,SI,NO,NO,NO
P0038,lucia38@mail.com,0933312777,Lucia,Lopez,787,EN1,NO,NO,NO,SI,NO
P0039,juan39@mail.com,0967559567,Juan,Lopez,881,IS2,NO,NO,NO,NO,NO
P0040,luis40@mail.com,0965752048,Luis,Cedeño,919,IN1,NO,SI,NO,NO,NO
P0041,juan41@mail.com,0945951458,Juan,Zambrano,716,IS1,NO,NO,NO,NO,NO
P0042,carlos42@mail.com,0999756145,Carlos,Torres,805,CO2,NO,NO,SI,NO,NO
P0043,miguel43@mail.com,0991128497,Miguel,Zambrano,774,IN1,NO,NO,NO,NO,NO
P0044,ana44@mail.com,0955761276,Ana,Cedeño,926,IS1,NO,NO,NO,NO,NO
P0045,luis45@mail.com,0958149756,Luis,Garcia,792,MA1,NO,NO,NO,NO,SI
P0046,rosa46@mail.com,0947629396,Rosa,Vera,971,IN1,NO,NO,NO,NO,NO
P0047,pedro47@mail.com,0920987458,Pedro,Perez,770,CO1,NO,NO,NO,NO,NO
P0048,luis48@mail.com,0942890229,Luis,Garcia,926,PS1,NO,NO,NO,SI,NO
P0049,lucia49@mail.com,0985978039,Lucia,Torres,771,AD2,NO,SI,NO,SI,NO
P0050,rosa50@mail.com,0965120738,Rosa,Vera,736,IS1,NO,SI,NO,NO,NO
P0051,pedro51@mail.com,0923568026,Pedro,Castro,789,IS2,NO,NO,NO,NO,NO
P0052,pedro52@mail.com,0928118139,Pedro,Zambrano,770,CO2,NO,NO,NO,NO,NO
P0053,pedro53@mail.com,0986256496,Pedro,Torres,994,IS3,NO,NO,NO,SI,NO
P0054,pedro54@mail.com,0927257027,Pedro,Gomez,666,IN1,NO,NO,NO,NO,NO
P0055,maria55@mail.com,0969886991,Maria,Vera,905,EC1,NO,NO,NO,NO,NO
P0056,carlos56@mail.com,0917212842,Carlos,Torres,753,DE1,NO,NO,SI,NO,NO
P0057,pedro57@mail.com,0957258016,Pedro,Mendoza,839,IS2,NO,NO,NO,NO,NO
P0058,sofia58@mail.com,0917697319,Sofia,Mendoza,947,DE1,NO,SI,NO,NO,NO
P0059,pedro59@mail.com,0986385414,Pedro,Zambrano,952,IN1,SI,NO,NO,NO,NO
P0060,miguel60@mail.com,0955604771,Miguel,Lopez,993,IS2,NO,NO,NO,NO,NO
P0061,miguel61@mail.com,0923142149,Miguel,Gomez,689,IS2,NO,NO,NO,NO,NO
P0062,miguel62@mail.com,0943450716,Miguel,Mendoza,878,EC1,NO,NO,NO,NO,NO
P0063,juan63@mail.com,0942625770,Juan,Castro,947,IN1,NO,NO,SI,SI,NO
P0064,juan64@mail.com,0947137824,Juan,Torres,774,IN1,NO,NO,NO,NO,NO
P0065,luis65@mail.com,0985092280,Luis,Zambrano,820,IS3,NO,SI,NO,NO,NO
P0066,juan66@mail.com,0963238314,Juan,Mendoza,927,IN1,NO,NO,NO,NO,NO
P0067,lucia67@mail.com,0955040851,Lucia,Vera,669,AD1,NO,SI,NO,NO,NO
P0068,luis68@mail.com,0969970094,Luis,Castro,797,AD1,NO,NO,NO,NO,NO
P0069,lucia69@mail.com,0920570451,Lucia,Cedeño,692,EC1,NO,NO,SI,NO,NO
P0070,miguel70@mail.com,0983283128,Miguel,Cedeño,913,ME1,NO,NO,NO,NO,NO
P0071,miguel71@mail.com,0941237420,Miguel,Mendoza,995,MA1,SI,NO,NO,NO,NO
P0072,ana72@mail.com,0910744660,Ana,Gomez,714,CO1,NO,NO,NO,NO,NO
P0073,lucia73@mail.com,0923592273,Lucia,Castro,947,IN1,NO,NO,NO,NO,NO
P0074,juan74@mail.com,0937122497,Juan,Zambrano,846,AD2,SI,NO,NO,NO,NO
P0075,lucia75@mail.com,0934680937,Lucia,Garcia,766,CO2,NO,NO,SI,NO,NO
P0076,carlos76@mail.com,0930416182,Carlos,Garcia,716,EC1,NO,NO,NO,NO,NO
P0077,juan77@mail.com,0912279154,Juan,Mendoza,982,PS1,NO,NO,NO,NO,NO
P0078,juan78@mail.com,0948915242,Juan,Torres,799,MA1,NO,NO,NO,NO,NO
P0079,maria79@mail.com,0972781863,Maria,Perez,730,IS2,NO,NO,NO,NO,NO
P0080,sofia80@mail.com,0928040651,Sofia,Cedeño,739,ME1,NO,NO,NO,NO,NO
P0081,luis81@mail.com,0981016194,Luis,Garcia,972,PS1,NO,NO,SI,NO,NO
P0082,miguel82@mail.com,0967135060,Miguel,Zambrano,917,ME1,NO,NO,SI,SI,NO
P0083,pedro83@mail.com,0961351098,Pedro,Lopez,889,IS3,NO,NO,NO,NO,NO
P0084,juan84@mail.com,0947685825,Juan,Gomez,902,IS2,NO,NO,SI,NO,NO
P0085,lucia85@mail.com,0998498003,Lucia,Castro,710,IS2,SI,NO,NO,NO,NO
P0086,sofia86@mail.com,0939757275,Sofia,Castro,790,ME1,SI,NO,NO,NO,NO
P0087,lucia87@mail.com,0974436483,Lucia,Perez,780,PS1,NO,SI,NO,NO,NO
P0088,pedro88@mail.com,0939898466,Pedro,Torres,846,EC1,SI,SI,NO,NO,NO
P0089,luis89@mail.com,0992067140,Luis,Lopez,788,CO1,NO,NO,NO,NO,NO
P0090,miguel90@mail.com,0931488364,Miguel,Castro,871,AD1,NO,NO,NO,NO,NO
